frame,gpu_ms,cpu_ms,triangles,draws
318,18.1146,2.8,1063849,1699
319,19.1207,2.895,1063849,1699
320,18.4914,3.003,1063849,1699
321,19.6783,2.765,1063849,1699
322,19.0202,3.077,1063849,1699
323,18.5631,2.756,1063849,1699
324,20.2558,2.757,1063849,1699
325,19.8225,2.866,1063849,1699
326,19.1618,2.823,1063849,1699
327,19.7056,2.8,1063849,1699
328,19.4561,2.554,1063849,1699
329,18.9441,3.024,1063849,1699
330,19.0676,2.861,1063849,1699
331,20.4155,2.817,1063849,1699
332,19.2374,3.041,1063849,1699
333,19.0719,2.638,1063849,1699
334,18.9394,2.785,1063849,1699
335,18.9472,2.817,1063849,1699
336,20.5637,2.793,1063849,1699
337,19.1006,3.173,1063849,1699
338,19.6186,2.642,1063849,1699
339,19.8189,2.819,1063849,1699
340,19.0893,2.994,1063849,1699
341,19.3164,2.726,1063849,1699
342,18.9484,2.689,1063849,1699
343,19.7662,2.726,1063849,1699
344,19.955,2.943,1063849,1699
345,18.979,3.038,1063849,1699
346,19.2336,2.848,1063849,1699
347,20.1209,2.538,1063849,1699
348,19.2851,3,1063849,1699
349,19.1394,2.669,1063849,1699
350,19.743,2.673,1063849,1699
351,19.2816,2.927,1063849,1699
352,20.5453,2.861,1063849,1699
353,19.2078,2.823,1063849,1699
354,19.7007,2.695,1063849,1699
355,19.0777,2.798,1063849,1699
356,19.1622,2.67,1063849,1699
357,19.7218,2.668,1063849,1699
358,20.0079,2.965,1063849,1699
359,19.3479,2.971,1063849,1699
360,19.7708,2.818,1063849,1699
361,19.6943,2.927,1063849,1699
362,19.7508,2.798,1063849,1699
363,20.9029,2.802,1063849,1699
364,19.4797,2.934,1063849,1699
365,20.1759,2.676,1063849,1699
366,19.7034,2.942,1063849,1699
367,20.9518,2.89,1063849,1699
368,19.674,2.923,1063849,1699
369,20.4377,2.658,1063849,1699
370,20.135,2.82,1063849,1699
371,19.6313,2.734,1063849,1699
372,20.5801,2.745,1063849,1699
373,19.7272,2.521,1063849,1699
374,20.5005,2.86,1063849,1699
375,20.2175,3.095,1063849,1699
376,20.5516,2.861,1063849,1699
377,20.4841,2.807,1063849,1699
378,20.8186,2.909,1063849,1699
379,20.1822,2.958,1063849,1699
380,20.9452,2.685,1063849,1699
381,20.0516,3.047,1063849,1699
382,19.7651,2.724,1063849,1699
383,21.5337,2.8,1063849,1699
384,20.9498,2.938,1063849,1699
385,20.3267,2.887,1063849,1699
