frame,gpu_ms,cpu_ms,triangles,draws
256,18.4947,1.053,1063849,593
257,19.3093,1.032,1063849,593
258,18.3174,1.235,1063849,593
259,19.7048,0.921,1063849,593
260,18.1066,1.11,1063849,593
261,19.3087,0.924,1063849,593
262,17.9758,1.046,1063849,593
263,19.4312,1.018,1063849,593
264,17.9458,1.105,1063849,593
265,18.5058,0.868,1063849,593
266,18.0457,1.083,1063849,593
267,18.6778,0.989,1063849,593
268,17.9193,1.143,1063849,593
269,19.1967,0.994,1063849,593
270,17.9658,1.217,1063849,593
271,18.2484,0.997,1063849,593
272,17.6041,1.217,1063849,593
273,19.5858,0.981,1063849,593
274,18.0107,1.128,1063849,593
275,18.3732,0.903,1063849,593
276,17.8779,1.312,1063849,593
277,19.3821,0.902,1063849,593
278,17.9599,1.07,1063849,593
279,17.956,1.061,1063849,593
280,18.3053,0.875,1063849,593
281,18.0635,1.425,1063849,593
282,18.1086,1.122,1063849,593
283,18.5992,0.956,1063849,593
284,18.471,1.097,1063849,593
285,19.2761,1.076,1063849,593
286,18.2427,0.989,1063849,593
287,18.1045,0.957,1063849,593
288,17.5773,0.955,1063849,593
289,19.758,1.076,1063849,593
290,18.9578,1.091,1063849,593
291,18.1088,1.026,1063849,593
292,18.2937,0.939,1063849,593
293,18.5643,1.22,1063849,593
294,18.4514,1.07,1063849,593
295,18.8872,0.967,1063849,593
296,18.32,1.214,1063849,593
297,19.5476,1.078,1063849,593
298,18.0332,1.341,1063849,593
299,18.7587,1.076,1063849,593
300,18.2311,1.049,1063849,593
301,18.3928,0.836,1063849,593
302,20.2587,0.93,1063849,593
303,18.784,1.436,1063849,593
304,18.8625,0.968,1063849,593
305,18.211,1.093,1063849,593
306,19.8006,1.087,1063849,593
307,18.7758,1.106,1063849,593
308,19.4202,1.063,1063849,593
309,18.7605,1.143,1063849,593
310,18.5995,1.119,1063849,593
311,18.9064,1.05,1063849,593
312,17.7907,0.954,1063849,593
313,18.9614,0.958,1063849,593
314,18.6743,0.835,1063849,593
315,19.7092,1.034,1063849,593
316,19.0589,1.347,1063849,593
317,18.8595,1.027,1063849,593
318,18.3338,0.879,1063849,593
319,20.536,0.962,1063849,593
320,18.8286,1.062,1063849,593
321,19.1517,1.002,1063849,593
322,18.6438,1.194,1063849,593
323,18.7881,1.084,1063849,593
324,19.273,0.93,1063849,593
325,19.5714,1.059,1063849,593
326,19.342,1.385,1063849,593
327,20.4714,1.165,1063849,593
328,19.1423,1.046,1063849,593
329,19.0149,1.087,1063849,593
330,19.2272,1.016,1063849,593
331,20.1649,1.051,1063849,593
332,20.0646,1.487,1063849,593
333,19.1533,0.954,1063849,593
334,20.6121,0.855,1063849,593
335,20.0168,1.237,1063849,593
336,20.7514,1.208,1063849,593
337,19.243,1.221,1063849,593
338,18.8228,0.987,1063849,593
339,22.1884,1.044,1063849,593
340,20.1672,1.086,1063849,593
341,19.2182,1.214,1063849,593
342,19.3063,0.915,1063849,593
343,20.2405,0.947,1063849,593
344,20.2287,1.101,1063849,593
345,19.0425,1.013,1063849,593
346,19.9889,1.031,1063849,593
347,19.2058,1.062,1063849,593
348,19.5006,0.917,1063849,593
349,19.0094,1.223,1063849,593
350,19.8958,0.871,1063849,593
351,19.4953,1.181,1063849,593
352,19.8641,1.011,1063849,593
353,19.1202,0.856,1063849,593
354,19.1339,1.071,1063849,593
355,18.9899,1.05,1063849,593
356,19.1089,0.955,1063849,593
357,20.1735,0.892,1063849,593
358,20.0128,1.144,1063849,593
359,20.8988,1.119,1063849,593
360,19.3397,1.075,1063849,593
361,19.9801,1.011,1063849,593
362,20.1531,0.922,1063849,593
363,19.8134,1.109,1063849,593
364,19.4654,1.15,1063849,593
365,19.9139,0.926,1063849,593
366,20.1566,1.158,1063849,593
367,20.125,1.08,1063849,593
368,20.9412,1.011,1063849,593
369,20.1448,1.296,1063849,593
370,20.1711,1.015,1063849,593
371,19.7166,1.162,1063849,593
372,20.9718,1.068,1063849,593
373,20.0327,1.043,1063849,593
374,19.6948,0.928,1063849,593
375,21.4656,0.968,1063849,593
376,20.2142,1.307,1063849,593
377,20.3782,1.097,1063849,593
378,20.176,0.932,1063849,593
379,20.8032,0.997,1063849,593
380,20.9964,1.177,1063849,593
381,21.0495,1.02,1063849,593
382,20.0699,1.092,1063849,593
383,20.8013,1.171,1063849,593
384,20.0428,0.956,1063849,593
385,21.8272,0.847,1063849,593
386,20.6367,1.164,1063849,593
387,20.2242,1.133,1063849,593
388,19.7717,1.045,1063849,593
389,20.8502,1.015,1063849,593
390,20.6336,1.135,1063849,593
391,21.3132,1.09,1063849,593
392,20.3433,1.27,1063849,593
393,20.5763,0.852,1063849,593
394,20.8451,1.072,1063849,593
395,19.8809,0.99,1063849,593
396,19.75,0.916,1063849,593
397,20.4614,0.988,1063849,593
398,19.9446,1.131,1063849,593
399,20.3964,1.304,1063849,593
400,19.5164,1.187,1063849,593
401,20.0918,0.862,1063849,593
402,19.851,1.185,1063849,593
403,20.1917,0.928,1063849,593
404,19.4827,1.085,1063849,593
405,20.0531,1.086,1063849,593
406,19.9551,0.993,1063849,593
407,20.2421,1.017,1063849,593
408,19.0682,0.852,1063849,593
409,20.5707,0.876,1063849,593
410,20.2857,1.083,1063849,593
411,20.0503,1.066,1063849,593
412,19.3304,0.835,1063849,593
413,19.3496,0.864,1063849,593
414,20.7972,0.904,1063849,593
415,19.4894,0.92,1063849,593
416,20.688,0.904,1063849,593
417,19.8651,1.05,1063849,593
418,19.5396,1.024,1063849,593
419,19.6617,1.129,1063849,593
420,21.1914,1.035,1063849,593
421,20.2542,1.107,1063849,593
422,19.6218,1.064,1063849,593
423,19.926,0.991,1063849,593
424,19.4159,0.89,1063849,593
425,19.1401,1.004,1063849,593
426,19.1499,0.883,1063849,593
427,20.3524,1.099,1063849,593
428,19.484,1.24,1063849,593
429,20.6395,1.031,1063849,593
430,19.8574,1.12,1063849,593
431,19.3676,1.139,1063849,593
432,20.4404,1.055,1063849,593
433,19.2182,1.237,1063849,593
434,19.4498,0.915,1063849,593
435,21.0761,1.1,1063849,593
436,18.867,1.355,1063849,593
437,19.868,1.06,1063849,593
438,19.5779,1.15,1063849,593
439,19.0585,1.119,1063849,593
440,19.4644,1.177,1063849,593
441,19.5413,0.875,1063849,593
442,19.002,0.825,1063849,593
443,19.1656,1.3,1063849,593
444,19.2313,1.011,1063849,593
445,18.9484,0.907,1063849,593
446,19.591,0.849,1063849,593
447,20.3041,1.096,1063849,593
448,19.0197,1.362,1063849,593
449,18.9969,0.887,1063849,593
450,18.88,1.011,1063849,593
451,20.293,1.049,1063849,593
452,19.7026,1.079,1063849,593
453,19.0396,1.388,1063849,593
454,18.9326,0.997,1063849,593
455,19.0982,0.95,1063849,593
456,19.697,1.2,1063849,593
457,19.0842,1.337,1063849,593
458,18.8522,1.078,1063849,593
459,20.5314,1.08,1063849,593
460,19.2362,1.137,1063849,593
461,20.072,0.96,1063849,593
462,19.0448,1.032,1063849,593
463,18.9128,1.054,1063849,593
464,19.13,0.97,1063849,593
465,19.5691,1.012,1063849,593
466,18.3892,0.87,1063849,593
467,19.7046,0.912,1063849,593
468,20.4088,1.07,1063849,593
469,19.1262,1.138,1063849,593
470,18.9882,1.018,1063849,593
471,20.9471,0.947,1063849,593
472,19.061,1.069,1063849,593
473,20.1275,0.956,1063849,593
474,19.1682,1.164,1063849,593
475,19.414,0.926,1063849,593
476,18.6811,1.23,1063849,593
477,18.8775,0.996,1063849,593
478,18.6196,0.887,1063849,593
479,19.8487,1.013,1063849,593
480,20.7956,1.098,1063849,593
481,19.1408,1.521,1063849,593
482,20.6295,1.013,1063849,593
483,19.6923,1.164,1063849,593
484,19.4996,1.09,1063849,593
485,18.6492,1.033,1063849,593
486,19.6217,0.857,1063849,593
487,19.9844,1.114,1063849,593
488,18.5724,1.137,1063849,593
489,18.98,0.886,1063849,593
490,19.4383,1.057,1063849,593
491,19.0797,1.071,1063849,593
492,18.7911,1.313,1063849,593
493,18.9695,0.973,1063849,593
494,19.1896,1.05,1063849,593
495,19.1621,1.239,1063849,593
496,19.6749,0.942,1063849,593
497,19.2036,1.103,1063849,593
498,18.9016,1.182,1063849,593
499,18.8648,0.969,1063849,593
500,20.9221,0.978,1063849,593
501,18.6781,1.375,1063849,593
502,18.7342,1.03,1063849,593
503,19.5662,0.97,1063849,593
504,20.5765,1.23,1063849,593
505,18.1087,1.431,1063849,593
506,19.7377,0.926,1063849,593
507,19.8277,1.073,1063849,593
508,19.9384,1.384,1063849,593
509,19.8068,1.135,1063849,593
510,19.1834,1.063,1063849,593
511,19.2472,1.038,1063849,593
512,18.8044,1.122,1063849,593
513,19.5891,0.953,1063849,593
514,19.7268,1.184,1063849,593
515,19.331,1.16,1063849,593
516,19.7087,1.032,1063849,593
517,19.0183,1.243,1063849,593
518,19.6781,1.221,1063849,593
519,18.9198,1.223,1063849,593
520,18.8691,1.093,1063849,593
521,20.6072,1.025,1063849,593
522,19.154,1.081,1063849,593
523,19.7028,1.042,1063849,593
524,19.1476,1.177,1063849,593
525,19.4216,1.123,1063849,593
526,18.8249,1.008,1063849,593
527,18.7658,1.072,1063849,593
528,18.5132,0.971,1063849,593
529,19.1818,0.915,1063849,593
530,19.3016,1.086,1063849,593
531,18.7014,1.187,1063849,593
532,19.0471,1.074,1063849,593
533,18.4714,1.225,1063849,593
534,18.8649,1.05,1063849,593
535,19.0292,1.188,1063849,593
536,18.9361,1.069,1063849,593
537,18.4923,1.05,1063849,593
538,20.0439,0.922,1063849,593
539,18.4882,1.156,1063849,593
540,18.6218,1.061,1063849,593
541,20.3364,1.098,1063849,593
542,18.8406,1.205,1063849,593
543,18.7985,1.27,1063849,593
544,18.3046,1.016,1063849,593
545,18.6468,0.977,1063849,593
546,18.3368,1.02,1063849,593
547,19.0196,0.887,1063849,593
548,19.892,1.103,1063849,593
549,18.8399,1.243,1063849,593
550,18.653,0.872,1063849,593
551,18.5773,0.851,1063849,593
552,18.7775,0.828,1063849,593
553,20.1834,0.893,1063849,593
554,18.5453,1.187,1063849,593
555,19.5594,0.942,1063849,593
556,18.5584,1.058,1063849,593
557,19.0063,1.149,1063849,593
558,18.9222,1.082,1063849,593
559,18.6176,1.155,1063849,593
560,19.1787,0.956,1063849,593
561,19.4108,1.058,1063849,593
562,18.5739,1.029,1063849,593
563,18.4768,1.01,1063849,593
564,19.027,0.98,1063849,593
565,19.0295,0.94,1063849,593
566,18.9895,1.164,1063849,593
567,18.6287,1.082,1063849,593
568,19.3104,0.94,1063849,593
